('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14173    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       44    0.001    0.000    0.007    0.000 filter.py:129(filter)
    14842    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      726    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      244    0.001    0.000    0.458    0.002 <frozen importlib._bootstrap_external>:1399(_get_spec)
      863    0.001    0.000    0.002    0.000 contextlib.py:139(__exit__)
      121    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      533    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
      555    0.001    0.000    0.006    0.000 _connection.py:398(_extract_next_receive_event)
    267/7    0.001    0.000    1.154    0.165 <frozen importlib._bootstrap>:1022(_find_and_load)
      261    0.001    0.000    0.003    0.000 _connection.py:260(_process_event)
     5934    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     3445    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     2708    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
     3428    0.001    0.000    0.005    0.000 filter.py:717(match)
      213    0.001    0.000    0.338    0.002 <frozen importlib._bootstrap_external>:1070(get_data)
     2623    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      284    0.001    0.000    0.006    0.000 typing.py:1016(__init__)
    239/6    0.001    0.000    1.136    0.189 <frozen importlib._bootstrap>:664(_load_unlocked)
      239    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     2713    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      257    0.001    0.000    1.200    0.005 http11.py:196(_receive_response_body)
    266/6    0.001    0.000    1.154    0.192 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       27    0.001    0.000    2.527    0.094 __init__.py:1(<module>)
     6552    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1047    0.001    0.000    0.574    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
     3549    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      243    0.001    0.000    0.002    0.000 typing_extensions.py:2989(_collect_type_vars)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2744    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
