('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1438    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
     1402    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
     1397    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1358    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
     1321    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1321    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1288/922    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
 1137/196    0.004    0.000    0.053    0.000 sre_parse.py:436(_parse_sub)
     1047    0.535    0.001    0.535    0.001 {built-in method posix.stat}
     1047    0.001    0.000    0.535    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
     1032    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     1014    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      943    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      854    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      854    0.000    0.000    0.001    0.000 contextlib.py:130(__enter__)
      854    0.001    0.000    0.001    0.000 contextlib.py:139(__exit__)
      854    0.000    0.000    0.002    0.000 contextlib.py:279(helper)
      852    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      845    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      844    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      796    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      767    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      767    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      752    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      752    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      726    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
  718/714    0.005    0.000    0.046    0.000 {built-in method builtins.__build_class__}
      712    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      693    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      693    0.005    0.000    0.006    0.000 sre_compile.py:292(_optimize_charset)
      667    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      661    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      657    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      653    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      639    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      617    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      617    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      615    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      604    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      592    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      590    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      589    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      588    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      559    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      549    0.001    0.000    0.004    0.000 _connection.py:398(_extract_next_receive_event)
      549    0.001    0.000    0.008    0.000 _connection.py:426(next_event)
      546    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
