('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         754775 function calls (730800 primitive calls) in 7.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.001    0.000    0.007    0.000 filter.py:129(filter)
       39    0.001    0.000    0.007    0.000 response.py:122(decompress)
     5934    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     2708    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
      328    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      194    0.001    0.000    0.306    0.002 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3428    0.001    0.000    0.005    0.000 filter.py:717(match)
     4309    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     2623    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      903    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
    214/4    0.001    0.000    0.865    0.216 <frozen importlib._bootstrap>:1022(_find_and_load)
    190/4    0.001    0.000    0.854    0.213 <frozen importlib._bootstrap>:664(_load_unlocked)
     3445    0.001    0.000    0.001    0.000 element.py:2763(descendants)
       17    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     2744    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
       87    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1058    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      308    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
     2326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     5835    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1130    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
    213/4    0.001    0.000    0.865    0.216 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     8626    0.001    0.000    0.001    0.000 typing.py:1737(cast)
      191    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
      164    0.001    0.000    0.196    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
      190    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      191    0.001    0.000    0.101    0.001 sre_compile.py:783(compile)
